,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AXP,AXP,AXP,AXP,AXP,AXP,BA,BA,BA,BA,BA,BA,CAT,CAT,CAT,CAT,CAT,CAT,CSCO,CSCO,CSCO,CSCO,CSCO,CSCO,CVX,CVX,CVX,CVX,CVX,CVX,DIS,DIS,DIS,DIS,DIS,DIS,GS,GS,GS,GS,GS,GS,HD,HD,HD,HD,HD,HD,IBM,IBM,IBM,IBM,IBM,IBM,INTC,INTC,INTC,INTC,INTC,INTC,JNJ,JNJ,JNJ,JNJ,JNJ,JNJ,JPM,JPM,JPM,JPM,JPM,JPM,KO,KO,KO,KO,KO,KO,MCD,MCD,MCD,MCD,MCD,MCD,MMM,MMM,MMM,MMM,MMM,MMM,MRK,MRK,MRK,MRK,MRK,MRK,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,NKE,NKE,NKE,NKE,NKE,NKE,PFE,PFE,PFE,PFE,PFE,PFE,PG,PG,PG,PG,PG,PG,TRV,TRV,TRV,TRV,TRV,TRV,UNH,UNH,UNH,UNH,UNH,UNH,V,V,V,V,V,V,VZ,VZ,VZ,VZ,VZ,VZ,WBA,WBA,WBA,WBA,WBA,WBA,WMT,WMT,WMT,WMT,WMT,WMT,XOM,XOM,XOM,XOM,XOM,XOM
,BID PRICE,BID VOLUME,BID TIME,ASK PRICE,ASK VOLUME,ASK TIME,BID PRICE,BID VOLUME,BID TIME,ASK PRICE,ASK VOLUME,ASK TIME,BID PRICE,BID VOLUME,BID TIME,ASK PRICE,ASK VOLUME,ASK TIME,BID PRICE,BID VOLUME,BID TIME,ASK PRICE,ASK VOLUME,ASK TIME,BID PRICE,BID VOLUME,BID TIME,ASK PRICE,ASK VOLUME,ASK TIME,BID PRICE,BID VOLUME,BID TIME,ASK PRICE,ASK VOLUME,ASK TIME,BID PRICE,BID VOLUME,BID TIME,ASK PRICE,ASK VOLUME,ASK TIME,BID PRICE,BID VOLUME,BID TIME,ASK PRICE,ASK VOLUME,ASK TIME,BID PRICE,BID VOLUME,BID TIME,ASK PRICE,ASK VOLUME,ASK TIME,BID PRICE,BID VOLUME,BID TIME,ASK PRICE,ASK VOLUME,ASK TIME,BID PRICE,BID VOLUME,BID TIME,ASK PRICE,ASK VOLUME,ASK TIME,BID PRICE,BID VOLUME,BID TIME,ASK PRICE,ASK VOLUME,ASK TIME,BID PRICE,BID VOLUME,BID TIME,ASK PRICE,ASK VOLUME,ASK TIME,BID PRICE,BID VOLUME,BID TIME,ASK PRICE,ASK VOLUME,ASK TIME,BID PRICE,BID VOLUME,BID TIME,ASK PRICE,ASK VOLUME,ASK TIME,BID PRICE,BID VOLUME,BID TIME,ASK PRICE,ASK VOLUME,ASK TIME,BID PRICE,BID VOLUME,BID TIME,ASK PRICE,ASK VOLUME,ASK TIME,BID PRICE,BID VOLUME,BID TIME,ASK PRICE,ASK VOLUME,ASK TIME,BID PRICE,BID VOLUME,BID TIME,ASK PRICE,ASK VOLUME,ASK TIME,BID PRICE,BID VOLUME,BID TIME,ASK PRICE,ASK VOLUME,ASK TIME,BID PRICE,BID VOLUME,BID TIME,ASK PRICE,ASK VOLUME,ASK TIME,BID PRICE,BID VOLUME,BID TIME,ASK PRICE,ASK VOLUME,ASK TIME,BID PRICE,BID VOLUME,BID TIME,ASK PRICE,ASK VOLUME,ASK TIME,BID PRICE,BID VOLUME,BID TIME,ASK PRICE,ASK VOLUME,ASK TIME,BID PRICE,BID VOLUME,BID TIME,ASK PRICE,ASK VOLUME,ASK TIME,BID PRICE,BID VOLUME,BID TIME,ASK PRICE,ASK VOLUME,ASK TIME,BID PRICE,BID VOLUME,BID TIME,ASK PRICE,ASK VOLUME,ASK TIME,BID PRICE,BID VOLUME,BID TIME,ASK PRICE,ASK VOLUME,ASK TIME
2020-06-12 09:32:00,343.87,6,2020-06-12 09:30:32,345.2,4,2020-06-12 09:30:59,101.84,1,2020-06-12 09:31:59,103.6,2,2020-06-12 09:30:04,185.0,170,2020-06-12 09:32:00,187.3,1,2020-06-12 09:30:08,123.7,1,2020-06-12 09:30:11,124.62,1,2020-06-12 09:31:36,44.73,26,2020-06-12 09:30:13,45.59,13,2020-06-12 09:31:47,92.26,3,2020-06-12 09:31:51,93.86,24,2020-06-12 09:30:12,114.75,13,2020-06-12 09:31:53,115.85,15,2020-06-12 09:30:46,198.57,1,2020-06-12 09:31:59,200.81,1,2020-06-12 09:30:20,242.07,4,2020-06-12 09:30:21,244.22,1,2020-06-12 09:31:57,121.03,3,2020-06-12 09:30:22,121.86,41,2020-06-12 09:30:42,60.06,1,2020-06-12 09:30:22,60.61,3,2020-06-12 09:31:56,142.6,6,2020-06-12 09:31:24,143.26,2,2020-06-12 09:30:24,100.25,6,2020-06-12 09:32:00,100.98,2,2020-06-12 09:30:26,46.02,2,2020-06-12 09:31:59,46.25,8,2020-06-12 09:30:54,190.44,6,2020-06-12 09:32:00,192.0,4,2020-06-12 09:30:27,155.74,1,2020-06-12 09:30:05,156.7,1,2020-06-12 09:30:04,77.44,2,2020-06-12 09:31:24,78.12,1,2020-06-12 09:30:27,190.11,7,2020-06-12 09:30:30,191.33,10,2020-06-12 09:31:47,97.0,19,2020-06-12 09:30:35,97.99,1,2020-06-12 09:30:35,33.75,34,2020-06-12 09:30:37,34.03,1,2020-06-12 09:30:36,116.35,1,2020-06-12 09:30:38,117.2,3,2020-06-12 09:30:38,113.73,3,2020-06-12 09:30:39,115.55,3,2020-06-12 09:30:39,289.5,1,2020-06-12 09:30:40,292.0,1,2020-06-12 09:31:00,193.01,1,2020-06-12 09:31:28,194.82,2,2020-06-12 09:30:42,56.53,9,2020-06-12 09:31:58,56.86,1,2020-06-12 09:30:41,41.64,3,2020-06-12 09:30:45,42.14,4,2020-06-12 09:31:50,120.32,3,2020-06-12 09:31:58,120.87,1,2020-06-12 09:30:44,47.66,3,2020-06-12 09:31:58,48.2,9,2020-06-12 09:30:17
2020-06-12 09:33:00,343.21,1,2020-06-12 09:32:40,344.87,7,2020-06-12 09:31:47,101.66,2,2020-06-12 09:32:45,103.6,2,2020-06-12 09:30:04,183.59,3,2020-06-12 09:33:00,185.91,2,2020-06-12 09:31:21,123.7,1,2020-06-12 09:30:11,124.62,1,2020-06-12 09:31:36,44.73,26,2020-06-12 09:30:13,45.59,13,2020-06-12 09:31:47,92.25,12,2020-06-12 09:32:47,93.86,24,2020-06-12 09:30:12,114.75,13,2020-06-12 09:31:53,115.85,15,2020-06-12 09:30:46,198.14,3,2020-06-12 09:32:41,200.81,1,2020-06-12 09:30:20,242.07,4,2020-06-12 09:30:21,244.34,7,2020-06-12 09:32:01,121.03,3,2020-06-12 09:30:22,121.86,41,2020-06-12 09:30:42,60.06,1,2020-06-12 09:30:22,60.72,2,2020-06-12 09:32:23,142.6,6,2020-06-12 09:30:25,143.26,2,2020-06-12 09:30:24,100.03,5,2020-06-12 09:32:59,100.98,2,2020-06-12 09:30:26,46.0,312,2020-06-12 09:32:47,46.25,8,2020-06-12 09:30:54,190.44,6,2020-06-12 09:32:03,192.0,4,2020-06-12 09:30:27,155.72,1,2020-06-12 09:32:17,156.7,1,2020-06-12 09:30:04,77.43,2,2020-06-12 09:32:46,78.12,1,2020-06-12 09:30:27,190.11,11,2020-06-12 09:32:56,191.33,10,2020-06-12 09:31:47,96.68,2,2020-06-12 09:32:25,97.99,1,2020-06-12 09:30:35,33.75,34,2020-06-12 09:30:37,34.03,1,2020-06-12 09:30:36,116.35,9,2020-06-12 09:33:00,117.2,3,2020-06-12 09:30:38,113.73,3,2020-06-12 09:30:39,115.55,3,2020-06-12 09:30:39,289.5,1,2020-06-12 09:30:40,292.0,1,2020-06-12 09:31:00,192.74,4,2020-06-12 09:32:06,194.82,2,2020-06-12 09:30:42,56.51,6,2020-06-12 09:32:05,56.86,1,2020-06-12 09:30:41,41.64,3,2020-06-12 09:30:45,42.14,4,2020-06-12 09:31:50,120.32,3,2020-06-12 09:31:58,120.87,1,2020-06-12 09:30:44,47.66,3,2020-06-12 09:31:58,48.2,9,2020-06-12 09:30:17
2020-06-12 09:34:00,343.21,1,2020-06-12 09:32:40,345.2,4,2020-06-12 09:30:59,101.38,7,2020-06-12 09:33:06,103.6,2,2020-06-12 09:30:04,183.33,7,2020-06-12 09:33:05,187.3,1,2020-06-12 09:30:08,123.7,1,2020-06-12 09:30:11,124.62,1,2020-06-12 09:31:36,44.73,26,2020-06-12 09:30:13,45.69,15,2020-06-12 09:33:46,92.25,12,2020-06-12 09:32:47,93.86,24,2020-06-12 09:30:12,114.75,13,2020-06-12 09:31:53,115.85,15,2020-06-12 09:30:46,197.57,3,2020-06-12 09:33:05,200.81,1,2020-06-12 09:30:20,242.07,4,2020-06-12 09:30:21,244.34,7,2020-06-12 09:32:01,121.03,3,2020-06-12 09:30:22,121.86,39,2020-06-12 09:34:00,60.06,1,2020-06-12 09:30:22,60.72,2,2020-06-12 09:32:23,142.6,6,2020-06-12 09:30:25,143.4,1,2020-06-12 09:33:17,99.8,7,2020-06-12 09:33:06,100.98,2,2020-06-12 09:30:26,46.0,312,2020-06-12 09:33:30,46.25,8,2020-06-12 09:30:54,190.4,5,2020-06-12 09:33:50,192.0,4,2020-06-12 09:30:27,155.72,1,2020-06-12 09:32:17,156.7,1,2020-06-12 09:30:04,77.43,2,2020-06-12 09:32:46,78.12,1,2020-06-12 09:30:27,189.85,11,2020-06-12 09:33:25,191.33,10,2020-06-12 09:31:47,96.59,10,2020-06-12 09:33:29,97.99,1,2020-06-12 09:30:35,33.75,34,2020-06-12 09:30:37,34.03,1,2020-06-12 09:30:36,116.33,4,2020-06-12 09:34:00,117.2,3,2020-06-12 09:30:38,113.73,3,2020-06-12 09:30:39,115.55,3,2020-06-12 09:30:39,289.5,1,2020-06-12 09:30:40,292.0,1,2020-06-12 09:31:00,192.7,8,2020-06-12 09:33:25,194.82,2,2020-06-12 09:30:42,56.51,6,2020-06-12 09:32:05,56.86,1,2020-06-12 09:30:41,41.64,3,2020-06-12 09:30:45,42.19,1,2020-06-12 09:34:00,120.32,3,2020-06-12 09:31:58,120.87,1,2020-06-12 09:30:44,47.66,3,2020-06-12 09:31:58,48.2,9,2020-06-12 09:30:17
2020-06-12 09:35:00,343.31,1,2020-06-12 09:32:58,345.2,4,2020-06-12 09:30:59,101.38,7,2020-06-12 09:33:06,103.6,2,2020-06-12 09:30:04,183.74,3,2020-06-12 09:33:19,187.3,1,2020-06-12 09:30:08,123.7,1,2020-06-12 09:30:11,124.76,4,2020-06-12 09:34:11,44.73,26,2020-06-12 09:30:13,45.69,15,2020-06-12 09:33:46,92.25,12,2020-06-12 09:32:47,93.86,24,2020-06-12 09:30:12,114.75,13,2020-06-12 09:31:53,115.85,15,2020-06-12 09:30:46,197.57,3,2020-06-12 09:33:05,200.81,1,2020-06-12 09:30:20,242.07,4,2020-06-12 09:30:21,244.34,7,2020-06-12 09:32:01,121.03,3,2020-06-12 09:30:22,122.11,7,2020-06-12 09:34:57,60.06,1,2020-06-12 09:30:22,60.8,12,2020-06-12 09:34:54,142.6,6,2020-06-12 09:30:25,143.68,4,2020-06-12 09:35:00,99.8,7,2020-06-12 09:33:06,100.98,2,2020-06-12 09:30:26,46.0,308,2020-06-12 09:34:55,46.25,8,2020-06-12 09:30:54,190.4,5,2020-06-12 09:33:50,192.0,4,2020-06-12 09:30:27,155.72,1,2020-06-12 09:32:17,156.7,1,2020-06-12 09:30:04,77.43,2,2020-06-12 09:32:46,78.12,1,2020-06-12 09:30:27,189.85,11,2020-06-12 09:33:25,191.33,10,2020-06-12 09:31:47,96.59,10,2020-06-12 09:33:29,97.99,1,2020-06-12 09:30:35,33.75,34,2020-06-12 09:30:37,34.03,1,2020-06-12 09:30:36,116.16,8,2020-06-12 09:34:59,117.2,3,2020-06-12 09:30:38,113.73,3,2020-06-12 09:30:39,115.55,3,2020-06-12 09:30:39,289.5,1,2020-06-12 09:30:40,292.0,1,2020-06-12 09:31:00,192.7,8,2020-06-12 09:33:25,194.82,2,2020-06-12 09:30:42,56.51,6,2020-06-12 09:32:05,56.86,1,2020-06-12 09:30:41,41.64,3,2020-06-12 09:30:45,42.26,4,2020-06-12 09:34:11,120.17,10,2020-06-12 09:34:54,120.87,1,2020-06-12 09:30:44,47.66,3,2020-06-12 09:31:58,48.2,9,2020-06-12 09:30:17
2020-06-12 09:36:00,343.78,4,2020-06-12 09:33:28,345.2,4,2020-06-12 09:30:59,101.38,7,2020-06-12 09:33:06,103.6,2,2020-06-12 09:30:04,184.9,2,2020-06-12 09:33:58,187.3,1,2020-06-12 09:30:08,123.7,1,2020-06-12 09:30:11,124.76,4,2020-06-12 09:34:11,44.73,26,2020-06-12 09:30:13,45.69,15,2020-06-12 09:33:46,92.25,12,2020-06-12 09:32:47,93.86,24,2020-06-12 09:30:12,114.86,14,2020-06-12 09:32:47,116.09,11,2020-06-12 09:35:58,197.57,3,2020-06-12 09:33:05,200.81,1,2020-06-12 09:30:20,242.07,4,2020-06-12 09:30:21,244.34,7,2020-06-12 09:32:01,121.03,3,2020-06-12 09:30:22,122.22,1,2020-06-12 09:35:28,60.06,1,2020-06-12 09:30:22,60.8,12,2020-06-12 09:34:54,142.6,6,2020-06-12 09:30:25,143.74,5,2020-06-12 09:35:01,99.8,7,2020-06-12 09:33:06,100.98,2,2020-06-12 09:30:26,45.93,17,2020-06-12 09:35:31,46.25,8,2020-06-12 09:30:54,190.4,8,2020-06-12 09:33:50,192.0,4,2020-06-12 09:30:27,155.72,1,2020-06-12 09:32:17,156.7,1,2020-06-12 09:30:04,77.3,4,2020-06-12 09:36:00,78.12,1,2020-06-12 09:30:27,189.85,11,2020-06-12 09:33:25,191.33,10,2020-06-12 09:31:47,96.52,1,2020-06-12 09:35:03,97.99,1,2020-06-12 09:30:35,33.75,34,2020-06-12 09:30:37,34.03,1,2020-06-12 09:30:36,115.86,4,2020-06-12 09:35:44,117.2,3,2020-06-12 09:30:38,113.73,3,2020-06-12 09:30:39,115.55,3,2020-06-12 09:30:39,289.5,1,2020-06-12 09:30:40,292.0,1,2020-06-12 09:31:00,192.7,8,2020-06-12 09:33:25,194.82,2,2020-06-12 09:30:42,56.51,6,2020-06-12 09:32:05,56.86,1,2020-06-12 09:30:41,41.64,3,2020-06-12 09:30:45,42.26,4,2020-06-12 09:34:11,120.03,3,2020-06-12 09:35:59,120.87,1,2020-06-12 09:30:44,47.66,3,2020-06-12 09:31:58,48.2,9,2020-06-12 09:30:17
2020-06-12 09:38:00,343.99,4,2020-06-12 09:33:43,345.78,2,2020-06-12 09:37:10,101.38,7,2020-06-12 09:33:06,103.6,2,2020-06-12 09:30:04,186.88,5,2020-06-12 09:36:02,189.53,3,2020-06-12 09:37:18,123.7,1,2020-06-12 09:30:11,124.76,4,2020-06-12 09:34:11,44.73,26,2020-06-12 09:30:13,45.69,15,2020-06-12 09:33:46,92.25,12,2020-06-12 09:32:47,93.86,24,2020-06-12 09:30:12,115.64,11,2020-06-12 09:35:23,116.75,15,2020-06-12 09:37:57,197.57,3,2020-06-12 09:33:05,200.81,1,2020-06-12 09:30:20,242.07,4,2020-06-12 09:30:21,244.73,3,2020-06-12 09:37:53,121.03,3,2020-06-12 09:30:22,122.3,5,2020-06-12 09:37:20,60.06,1,2020-06-12 09:30:22,60.84,9,2020-06-12 09:37:10,142.6,6,2020-06-12 09:30:25,143.74,5,2020-06-12 09:35:01,99.8,7,2020-06-12 09:33:06,100.98,2,2020-06-12 09:30:26,45.93,17,2020-06-12 09:35:31,46.25,8,2020-06-12 09:30:54,190.4,8,2020-06-12 09:33:50,192.0,4,2020-06-12 09:30:27,155.72,1,2020-06-12 09:32:17,156.7,1,2020-06-12 09:30:04,77.27,6,2020-06-12 09:37:39,78.12,1,2020-06-12 09:30:27,189.85,11,2020-06-12 09:33:25,191.33,10,2020-06-12 09:31:47,96.52,1,2020-06-12 09:35:03,97.99,1,2020-06-12 09:30:35,33.75,34,2020-06-12 09:30:37,34.03,1,2020-06-12 09:30:36,115.86,4,2020-06-12 09:35:44,117.2,3,2020-06-12 09:30:38,113.73,3,2020-06-12 09:30:39,115.55,3,2020-06-12 09:30:39,289.5,1,2020-06-12 09:30:40,292.78,1,2020-06-12 09:37:55,192.7,8,2020-06-12 09:33:25,194.82,2,2020-06-12 09:30:42,56.51,6,2020-06-12 09:32:05,56.86,1,2020-06-12 09:30:41,41.64,3,2020-06-12 09:30:45,42.42,4,2020-06-12 09:37:59,119.9,5,2020-06-12 09:36:04,120.87,1,2020-06-12 09:30:44,47.66,3,2020-06-12 09:31:58,48.4,24,2020-06-12 09:37:52
2020-06-12 09:39:00,344.35,1,2020-06-12 09:34:10,345.78,2,2020-06-12 09:37:10,101.38,7,2020-06-12 09:33:06,103.6,2,2020-06-12 09:30:04,187.0,3,2020-06-12 09:36:02,189.53,3,2020-06-12 09:37:18,123.7,1,2020-06-12 09:30:11,124.76,4,2020-06-12 09:34:11,44.73,26,2020-06-12 09:30:13,45.69,15,2020-06-12 09:33:46,92.25,12,2020-06-12 09:32:47,93.86,24,2020-06-12 09:30:12,115.69,7,2020-06-12 09:35:24,116.8,6,2020-06-12 09:38:42,198.39,2,2020-06-12 09:33:34,201.11,1,2020-06-12 09:38:54,242.07,4,2020-06-12 09:30:21,244.97,1,2020-06-12 09:38:54,121.03,3,2020-06-12 09:30:22,122.3,5,2020-06-12 09:37:20,60.06,1,2020-06-12 09:30:22,60.84,9,2020-06-12 09:37:10,142.6,6,2020-06-12 09:30:25,143.74,5,2020-06-12 09:35:01,99.8,7,2020-06-12 09:33:06,100.98,2,2020-06-12 09:30:26,45.93,17,2020-06-12 09:35:31,46.25,8,2020-06-12 09:30:54,190.4,8,2020-06-12 09:33:50,192.0,4,2020-06-12 09:30:27,155.72,1,2020-06-12 09:32:17,156.7,1,2020-06-12 09:30:04,77.25,9,2020-06-12 09:38:37,78.12,1,2020-06-12 09:30:27,189.85,11,2020-06-12 09:33:25,191.3,2,2020-06-12 09:31:48,96.52,1,2020-06-12 09:35:03,97.99,1,2020-06-12 09:30:35,33.75,34,2020-06-12 09:30:37,34.03,1,2020-06-12 09:30:36,115.86,4,2020-06-12 09:35:44,117.2,3,2020-06-12 09:30:38,113.73,3,2020-06-12 09:30:39,115.55,3,2020-06-12 09:30:39,289.5,1,2020-06-12 09:30:40,292.78,3,2020-06-12 09:38:24,192.7,8,2020-06-12 09:33:25,194.82,2,2020-06-12 09:30:42,56.51,6,2020-06-12 09:32:05,56.86,1,2020-06-12 09:30:41,41.64,3,2020-06-12 09:30:45,42.42,4,2020-06-12 09:37:59,119.8,12,2020-06-12 09:38:58,120.87,1,2020-06-12 09:30:44,47.66,3,2020-06-12 09:31:58,48.4,24,2020-06-12 09:37:52
2020-06-12 09:40:00,344.28,2,2020-06-12 09:34:08,345.87,3,2020-06-12 09:39:45,101.38,7,2020-06-12 09:33:06,103.6,2,2020-06-12 09:30:04,187.47,5,2020-06-12 09:36:06,189.8,3,2020-06-12 09:39:30,123.7,1,2020-06-12 09:30:11,124.76,4,2020-06-12 09:34:11,44.73,26,2020-06-12 09:30:13,45.69,15,2020-06-12 09:33:46,92.25,12,2020-06-12 09:32:47,93.86,24,2020-06-12 09:30:12,115.56,22,2020-06-12 09:35:22,116.8,6,2020-06-12 09:38:42,198.43,4,2020-06-12 09:33:34,201.3,2,2020-06-12 09:39:53,242.33,4,2020-06-12 09:30:30,245.0,7,2020-06-12 09:39:57,121.03,3,2020-06-12 09:30:22,122.3,5,2020-06-12 09:37:20,60.06,1,2020-06-12 09:30:22,60.84,9,2020-06-12 09:37:10,142.6,6,2020-06-12 09:30:25,143.74,5,2020-06-12 09:35:01,99.8,7,2020-06-12 09:33:06,100.98,2,2020-06-12 09:30:26,45.93,17,2020-06-12 09:35:31,46.25,8,2020-06-12 09:30:54,190.4,8,2020-06-12 09:33:50,192.0,4,2020-06-12 09:30:27,155.72,1,2020-06-12 09:32:17,156.85,3,2020-06-12 09:39:49,77.17,6,2020-06-12 09:39:03,78.12,1,2020-06-12 09:30:27,189.85,11,2020-06-12 09:33:25,191.33,10,2020-06-12 09:31:47,96.52,1,2020-06-12 09:35:03,97.99,1,2020-06-12 09:30:35,33.75,34,2020-06-12 09:30:37,34.03,1,2020-06-12 09:30:36,115.86,4,2020-06-12 09:35:44,117.2,3,2020-06-12 09:30:38,113.73,3,2020-06-12 09:30:39,115.55,3,2020-06-12 09:30:39,289.5,1,2020-06-12 09:30:40,293.4,3,2020-06-12 09:39:41,192.7,8,2020-06-12 09:33:25,194.82,2,2020-06-12 09:30:42,56.51,6,2020-06-12 09:32:05,56.86,1,2020-06-12 09:30:41,41.64,3,2020-06-12 09:30:45,42.42,4,2020-06-12 09:37:59,119.71,3,2020-06-12 09:39:27,120.87,1,2020-06-12 09:30:44,47.66,3,2020-06-12 09:31:58,48.44,8,2020-06-12 09:39:58
2020-06-12 09:41:00,345.19,10,2020-06-12 09:38:30,346.39,1,2020-06-12 09:40:58,101.38,7,2020-06-12 09:33:06,103.6,2,2020-06-12 09:30:04,188.93,2,2020-06-12 09:39:56,191.3,10,2020-06-12 09:40:48,123.7,1,2020-06-12 09:30:11,125.0,5,2020-06-12 09:40:36,44.73,26,2020-06-12 09:30:13,45.69,15,2020-06-12 09:33:46,92.26,3,2020-06-12 09:32:47,93.86,24,2020-06-12 09:30:12,115.86,22,2020-06-12 09:35:38,116.9,6,2020-06-12 09:41:00,199.21,1,2020-06-12 09:37:00,201.62,5,2020-06-12 09:40:52,242.67,3,2020-06-12 09:33:01,245.56,6,2020-06-12 09:40:57,121.03,3,2020-06-12 09:30:22,122.42,8,2020-06-12 09:40:32,60.06,1,2020-06-12 09:30:22,60.84,9,2020-06-12 09:37:10,142.6,6,2020-06-12 09:30:25,143.74,5,2020-06-12 09:35:01,99.8,7,2020-06-12 09:33:06,100.98,5,2020-06-12 09:30:26,45.93,17,2020-06-12 09:35:31,46.25,8,2020-06-12 09:40:58,190.4,8,2020-06-12 09:33:50,192.0,4,2020-06-12 09:30:27,155.72,1,2020-06-12 09:32:17,157.0,8,2020-06-12 09:40:45,77.17,6,2020-06-12 09:39:03,78.12,1,2020-06-12 09:30:27,189.97,2,2020-06-12 09:33:27,191.33,10,2020-06-12 09:31:47,96.52,1,2020-06-12 09:35:03,97.99,1,2020-06-12 09:30:35,33.75,34,2020-06-12 09:30:37,34.05,46,2020-06-12 09:40:15,115.86,4,2020-06-12 09:35:44,117.2,3,2020-06-12 09:30:38,113.73,3,2020-06-12 09:30:39,115.55,3,2020-06-12 09:30:39,289.5,1,2020-06-12 09:30:40,293.5,2,2020-06-12 09:40:15,192.7,8,2020-06-12 09:33:25,194.82,2,2020-06-12 09:30:42,56.51,6,2020-06-12 09:32:05,56.86,1,2020-06-12 09:30:41,41.64,3,2020-06-12 09:30:45,42.48,3,2020-06-12 09:40:59,119.71,3,2020-06-12 09:39:27,120.87,1,2020-06-12 09:30:44,47.66,3,2020-06-12 09:31:58,48.62,17,2020-06-12 09:40:59
