,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AXP,AXP,AXP,AXP,AXP,AXP,BA,BA,BA,BA,BA,BA,CAT,CAT,CAT,CAT,CAT,CAT,CSCO,CSCO,CSCO,CSCO,CSCO,CSCO,CVX,CVX,CVX,CVX,CVX,CVX,DIS,DIS,DIS,DIS,DIS,DIS,GS,GS,GS,GS,GS,GS,HD,HD,HD,HD,HD,HD,IBM,IBM,IBM,IBM,IBM,IBM,INTC,INTC,INTC,INTC,INTC,INTC,JNJ,JNJ,JNJ,JNJ,JNJ,JNJ,JPM,JPM,JPM,JPM,JPM,JPM,KO,KO,KO,KO,KO,KO,MCD,MCD,MCD,MCD,MCD,MCD,MMM,MMM,MMM,MMM,MMM,MMM,MRK,MRK,MRK,MRK,MRK,MRK,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,NKE,NKE,NKE,NKE,NKE,NKE,PFE,PFE,PFE,PFE,PFE,PFE,PG,PG,PG,PG,PG,PG,TRV,TRV,TRV,TRV,TRV,TRV,UNH,UNH,UNH,UNH,UNH,UNH,V,V,V,V,V,V,VZ,VZ,VZ,VZ,VZ,VZ,WBA,WBA,WBA,WBA,WBA,WBA,WMT,WMT,WMT,WMT,WMT,WMT,XOM,XOM,XOM,XOM,XOM,XOM
,BID PRICE,BID VOLUME,BID TIME,ASK PRICE,ASK VOLUME,ASK TIME,BID PRICE,BID VOLUME,BID TIME,ASK PRICE,ASK VOLUME,ASK TIME,BID PRICE,BID VOLUME,BID TIME,ASK PRICE,ASK VOLUME,ASK TIME,BID PRICE,BID VOLUME,BID TIME,ASK PRICE,ASK VOLUME,ASK TIME,BID PRICE,BID VOLUME,BID TIME,ASK PRICE,ASK VOLUME,ASK TIME,BID PRICE,BID VOLUME,BID TIME,ASK PRICE,ASK VOLUME,ASK TIME,BID PRICE,BID VOLUME,BID TIME,ASK PRICE,ASK VOLUME,ASK TIME,BID PRICE,BID VOLUME,BID TIME,ASK PRICE,ASK VOLUME,ASK TIME,BID PRICE,BID VOLUME,BID TIME,ASK PRICE,ASK VOLUME,ASK TIME,BID PRICE,BID VOLUME,BID TIME,ASK PRICE,ASK VOLUME,ASK TIME,BID PRICE,BID VOLUME,BID TIME,ASK PRICE,ASK VOLUME,ASK TIME,BID PRICE,BID VOLUME,BID TIME,ASK PRICE,ASK VOLUME,ASK TIME,BID PRICE,BID VOLUME,BID TIME,ASK PRICE,ASK VOLUME,ASK TIME,BID PRICE,BID VOLUME,BID TIME,ASK PRICE,ASK VOLUME,ASK TIME,BID PRICE,BID VOLUME,BID TIME,ASK PRICE,ASK VOLUME,ASK TIME,BID PRICE,BID VOLUME,BID TIME,ASK PRICE,ASK VOLUME,ASK TIME,BID PRICE,BID VOLUME,BID TIME,ASK PRICE,ASK VOLUME,ASK TIME,BID PRICE,BID VOLUME,BID TIME,ASK PRICE,ASK VOLUME,ASK TIME,BID PRICE,BID VOLUME,BID TIME,ASK PRICE,ASK VOLUME,ASK TIME,BID PRICE,BID VOLUME,BID TIME,ASK PRICE,ASK VOLUME,ASK TIME,BID PRICE,BID VOLUME,BID TIME,ASK PRICE,ASK VOLUME,ASK TIME,BID PRICE,BID VOLUME,BID TIME,ASK PRICE,ASK VOLUME,ASK TIME,BID PRICE,BID VOLUME,BID TIME,ASK PRICE,ASK VOLUME,ASK TIME,BID PRICE,BID VOLUME,BID TIME,ASK PRICE,ASK VOLUME,ASK TIME,BID PRICE,BID VOLUME,BID TIME,ASK PRICE,ASK VOLUME,ASK TIME,BID PRICE,BID VOLUME,BID TIME,ASK PRICE,ASK VOLUME,ASK TIME,BID PRICE,BID VOLUME,BID TIME,ASK PRICE,ASK VOLUME,ASK TIME,BID PRICE,BID VOLUME,BID TIME,ASK PRICE,ASK VOLUME,ASK TIME
2020-06-12 11:11:17,337.64,10,2020-06-12 11:06:28,339.97,3,2020-06-12 10:51:37,98.9,1,2020-06-12 11:04:24,101.03,4,2020-06-12 10:27:10,177.3,4,2020-06-12 11:05:42,181.77,9,2020-06-12 10:52:15,121.2,2,2020-06-12 11:05:01,124.02,1,2020-06-12 10:26:18,44.73,26,2020-06-12 09:30:16,45.86,22,2020-06-12 10:07:57,90.0,30,2020-06-12 11:05:01,92.06,5,2020-06-12 10:47:44,113.0,16,2020-06-12 11:05:00,114.69,19,2020-06-12 10:50:27,196.4,5,2020-06-12 11:05:09,200.77,8,2020-06-12 10:33:20,239.7,3,2020-06-12 11:04:56,242.27,1,2020-06-12 10:56:16,119.85,5,2020-06-12 11:05:00,121.87,1,2020-06-12 10:33:18,58.68,11,2020-06-12 11:04:56,59.82,29,2020-06-12 10:34:14,141.43,3,2020-06-12 11:04:07,143.11,2,2020-06-12 10:00:43,97.5,3,2020-06-12 11:05:04,99.6,10,2020-06-12 10:42:01,45.38,14,2020-06-12 11:04:58,46.25,24,2020-06-12 09:40:58,186.0,9,2020-06-12 11:04:21,188.88,4,2020-06-12 10:31:35,153.88,1,2020-06-12 11:04:55,156.92,1,2020-06-12 10:11:57,75.66,2,2020-06-12 11:04:57,76.87,8,2020-06-12 10:26:54,187.13,4,2020-06-12 11:05:09,189.17,11,2020-06-12 10:56:11,94.8,8,2020-06-12 11:05:01,96.52,6,2020-06-12 10:47:53,33.31,65,2020-06-12 11:05:02,34.11,49,2020-06-12 09:41:45,115.86,4,2020-06-12 09:35:44,117.32,5,2020-06-12 10:26:41,110.52,3,2020-06-12 11:05:00,113.37,1,2020-06-12 10:26:41,283.66,3,2020-06-12 11:04:58,287.7,1,2020-06-12 10:56:14,189.79,1,2020-06-12 11:04:58,192.15,4,2020-06-12 10:50:18,56.06,16,2020-06-12 11:04:01,56.86,1,2020-06-12 09:30:40,41.02,7,2020-06-12 11:05:02,42.32,6,2020-06-12 10:19:11,119.35,5,2020-06-12 10:57:35,120.61,3,2020-06-12 09:46:18,46.28,27,2020-06-12 11:05:01,47.78,14,2020-06-12 10:25:41
2020-06-12 11:11:22,337.59,5,2020-06-12 11:06:25,339.97,3,2020-06-12 10:51:37,98.9,1,2020-06-12 11:04:24,100.88,2,2020-06-12 10:28:09,176.99,8,2020-06-12 11:05:14,181.44,7,2020-06-12 11:10:09,121.2,2,2020-06-12 11:05:01,123.95,1,2020-06-12 10:26:53,44.73,26,2020-06-12 09:30:16,45.86,22,2020-06-12 10:07:57,90.0,30,2020-06-12 11:05:01,92.0,3,2020-06-12 10:48:42,113.0,16,2020-06-12 11:05:00,114.72,12,2020-06-12 10:50:26,196.39,2,2020-06-12 11:05:09,200.63,1,2020-06-12 10:47:43,239.7,3,2020-06-12 11:04:56,242.23,1,2020-06-12 10:56:16,119.85,5,2020-06-12 11:05:00,121.83,2,2020-06-12 10:33:19,58.68,11,2020-06-12 11:04:56,59.78,21,2020-06-12 10:35:45,141.43,3,2020-06-12 11:04:07,143.08,3,2020-06-12 10:00:45,97.39,8,2020-06-12 11:05:01,99.5,17,2020-06-12 10:47:23,45.38,14,2020-06-12 11:04:58,46.25,24,2020-06-12 09:40:58,186.0,9,2020-06-12 11:04:21,188.88,4,2020-06-12 10:31:35,153.88,1,2020-06-12 11:04:55,156.92,1,2020-06-12 10:11:57,75.66,2,2020-06-12 11:04:57,76.87,8,2020-06-12 10:26:54,187.07,8,2020-06-12 11:05:01,189.11,4,2020-06-12 10:56:11,94.8,8,2020-06-12 11:05:01,96.55,3,2020-06-12 10:47:44,33.31,65,2020-06-12 11:05:02,34.11,49,2020-06-12 09:41:45,115.86,4,2020-06-12 09:35:44,117.32,5,2020-06-12 10:26:41,110.52,3,2020-06-12 11:05:00,113.35,1,2020-06-12 10:27:09,283.66,3,2020-06-12 11:04:58,287.7,1,2020-06-12 10:56:14,189.79,1,2020-06-12 11:04:58,192.12,9,2020-06-12 10:50:19,56.06,16,2020-06-12 11:04:01,56.86,1,2020-06-12 09:30:40,41.02,7,2020-06-12 11:05:02,42.3,9,2020-06-12 10:19:40,119.35,5,2020-06-12 10:57:35,120.57,4,2020-06-12 09:55:43,46.28,27,2020-06-12 11:05:01,47.74,23,2020-06-12 10:26:01
2020-06-12 11:11:26,337.58,1,2020-06-12 11:06:25,339.9,7,2020-06-12 10:52:10,98.9,1,2020-06-12 11:04:24,100.85,2,2020-06-12 10:28:42,176.61,38,2020-06-12 11:05:09,181.19,5,2020-06-12 11:10:15,121.2,2,2020-06-12 11:05:01,123.94,2,2020-06-12 10:26:54,44.73,26,2020-06-12 09:30:16,45.86,22,2020-06-12 10:07:57,90.0,30,2020-06-12 11:05:01,91.97,10,2020-06-12 10:48:45,113.0,16,2020-06-12 11:05:00,114.65,14,2020-06-12 10:50:34,196.32,1,2020-06-12 11:05:04,200.43,2,2020-06-12 10:48:40,239.7,3,2020-06-12 11:04:56,242.25,1,2020-06-12 10:56:16,119.85,5,2020-06-12 11:05:00,121.8,4,2020-06-12 10:33:21,58.68,11,2020-06-12 11:04:56,59.77,33,2020-06-12 10:35:46,141.43,3,2020-06-12 11:04:07,143.11,2,2020-06-12 10:00:43,97.38,6,2020-06-12 11:05:00,99.42,2,2020-06-12 10:47:44,45.38,14,2020-06-12 11:04:58,46.25,24,2020-06-12 09:40:58,186.0,9,2020-06-12 11:04:21,188.86,6,2020-06-12 10:33:18,153.88,1,2020-06-12 11:04:55,156.83,2,2020-06-12 10:12:21,75.66,2,2020-06-12 11:04:57,76.86,9,2020-06-12 10:31:46,187.05,3,2020-06-12 11:05:01,189.08,2,2020-06-12 10:56:13,94.8,8,2020-06-12 11:05:01,96.51,4,2020-06-12 10:47:54,33.31,65,2020-06-12 11:05:02,34.11,49,2020-06-12 09:41:45,115.86,4,2020-06-12 09:35:44,117.32,5,2020-06-12 10:26:41,110.52,3,2020-06-12 11:05:00,113.34,1,2020-06-12 10:27:11,283.66,3,2020-06-12 11:04:58,287.51,1,2020-06-12 10:56:25,189.79,1,2020-06-12 11:04:58,192.1,1,2020-06-12 10:50:51,56.06,16,2020-06-12 11:04:01,56.86,1,2020-06-12 09:30:40,41.02,7,2020-06-12 11:05:02,42.26,4,2020-06-12 10:24:35,119.35,5,2020-06-12 10:57:35,120.57,4,2020-06-12 09:55:43,46.28,27,2020-06-12 11:05:01,47.73,24,2020-06-12 10:26:07
2020-06-12 11:11:30,337.64,10,2020-06-12 11:06:28,339.96,2,2020-06-12 10:51:38,98.9,1,2020-06-12 11:04:24,100.86,2,2020-06-12 10:28:41,176.82,4,2020-06-12 11:05:13,181.35,6,2020-06-12 11:10:12,121.2,2,2020-06-12 11:05:01,123.94,2,2020-06-12 10:26:54,44.73,26,2020-06-12 09:30:16,45.86,22,2020-06-12 10:07:57,90.0,30,2020-06-12 11:05:01,91.99,2,2020-06-12 10:48:43,113.0,16,2020-06-12 11:05:00,114.67,16,2020-06-12 10:50:32,196.32,1,2020-06-12 11:05:04,200.37,5,2020-06-12 10:48:48,239.7,3,2020-06-12 11:04:56,242.37,1,2020-06-12 10:56:11,119.85,5,2020-06-12 11:05:00,121.8,4,2020-06-12 10:33:21,58.68,11,2020-06-12 11:04:56,59.8,21,2020-06-12 10:35:24,141.43,3,2020-06-12 11:04:07,143.14,1,2020-06-12 10:00:43,97.38,6,2020-06-12 11:05:00,99.4,2,2020-06-12 10:47:44,45.38,14,2020-06-12 11:04:58,46.25,24,2020-06-12 09:40:58,186.0,9,2020-06-12 11:04:21,188.86,6,2020-06-12 10:33:18,153.88,1,2020-06-12 11:04:55,156.83,2,2020-06-12 10:12:21,75.66,2,2020-06-12 11:04:57,76.83,9,2020-06-12 10:31:49,187.08,4,2020-06-12 11:05:01,189.11,4,2020-06-12 10:56:11,94.8,8,2020-06-12 11:05:01,96.55,3,2020-06-12 10:47:44,33.31,65,2020-06-12 11:05:02,34.11,49,2020-06-12 09:41:45,115.86,4,2020-06-12 09:35:44,117.32,5,2020-06-12 10:26:41,110.52,3,2020-06-12 11:05:00,113.34,1,2020-06-12 10:27:11,283.66,3,2020-06-12 11:04:58,287.49,1,2020-06-12 10:56:26,189.79,1,2020-06-12 11:04:58,192.1,1,2020-06-12 10:50:51,56.06,16,2020-06-12 11:04:01,56.86,1,2020-06-12 09:30:40,41.02,7,2020-06-12 11:05:02,42.28,9,2020-06-12 10:23:17,119.35,5,2020-06-12 10:57:35,120.57,4,2020-06-12 09:55:43,46.28,27,2020-06-12 11:05:01,47.73,24,2020-06-12 10:26:07
2020-06-12 11:11:32,337.67,2,2020-06-12 11:06:29,340.0,11,2020-06-12 10:51:29,98.9,1,2020-06-12 11:04:24,100.91,4,2020-06-12 10:28:08,176.98,11,2020-06-12 11:05:14,181.6,54,2020-06-12 11:09:49,121.2,2,2020-06-12 11:05:01,123.94,2,2020-06-12 10:26:54,44.73,26,2020-06-12 09:30:16,45.86,22,2020-06-12 10:07:57,90.0,30,2020-06-12 11:05:01,92.0,3,2020-06-12 10:48:42,113.0,16,2020-06-12 11:05:00,114.68,7,2020-06-12 10:50:30,196.43,2,2020-06-12 11:05:10,200.64,3,2020-06-12 10:47:43,239.7,3,2020-06-12 11:04:56,242.26,1,2020-06-12 10:56:16,119.85,5,2020-06-12 11:05:00,121.86,3,2020-06-12 10:33:18,58.68,11,2020-06-12 11:04:56,59.81,34,2020-06-12 10:34:39,141.43,3,2020-06-12 11:04:07,143.14,1,2020-06-12 10:00:43,97.43,8,2020-06-12 11:05:02,99.5,17,2020-06-12 10:47:23,45.38,14,2020-06-12 11:04:58,46.25,24,2020-06-12 09:40:58,186.0,9,2020-06-12 11:04:21,188.86,6,2020-06-12 10:33:18,153.88,1,2020-06-12 11:04:55,156.85,5,2020-06-12 10:12:00,75.66,2,2020-06-12 11:04:57,76.81,5,2020-06-12 10:31:49,187.12,2,2020-06-12 11:05:09,189.17,11,2020-06-12 10:56:11,94.8,8,2020-06-12 11:05:01,96.54,3,2020-06-12 10:47:44,33.31,65,2020-06-12 11:05:02,34.11,49,2020-06-12 09:41:45,115.86,4,2020-06-12 09:35:44,117.32,5,2020-06-12 10:26:41,110.52,3,2020-06-12 11:05:00,113.33,8,2020-06-12 10:27:41,283.66,3,2020-06-12 11:04:58,287.25,1,2020-06-12 10:56:32,189.79,1,2020-06-12 11:04:58,192.15,4,2020-06-12 10:50:18,56.06,16,2020-06-12 11:04:01,56.86,1,2020-06-12 09:30:40,41.02,7,2020-06-12 11:05:02,42.29,7,2020-06-12 10:20:56,119.35,5,2020-06-12 10:57:35,120.54,6,2020-06-12 09:55:46,46.28,27,2020-06-12 11:05:01,47.76,25,2020-06-12 10:25:59
2020-06-12 11:11:35,337.82,2,2020-06-12 11:06:34,340.18,5,2020-06-12 10:51:16,98.9,1,2020-06-12 11:04:24,101.0,2,2020-06-12 10:27:11,177.08,4,2020-06-12 11:05:14,181.79,1,2020-06-12 10:52:15,121.2,2,2020-06-12 11:05:01,123.94,2,2020-06-12 10:26:54,44.73,26,2020-06-12 09:30:16,45.86,22,2020-06-12 10:07:57,90.0,30,2020-06-12 11:05:01,92.08,3,2020-06-12 10:47:43,113.0,16,2020-06-12 11:05:00,114.71,14,2020-06-12 10:50:26,196.61,2,2020-06-12 11:05:14,200.72,2,2020-06-12 10:47:43,239.7,3,2020-06-12 11:04:56,242.27,1,2020-06-12 10:56:16,119.85,5,2020-06-12 11:05:00,121.88,13,2020-06-12 10:33:10,58.68,11,2020-06-12 11:04:56,59.84,9,2020-06-12 10:33:30,141.43,3,2020-06-12 11:04:07,143.14,1,2020-06-12 10:00:43,97.47,6,2020-06-12 11:05:04,99.56,13,2020-06-12 10:43:22,45.38,14,2020-06-12 11:04:58,46.25,24,2020-06-12 09:40:58,186.0,9,2020-06-12 11:04:21,188.97,6,2020-06-12 10:31:21,153.88,1,2020-06-12 11:04:55,156.95,1,2020-06-12 10:11:49,75.66,2,2020-06-12 11:04:57,76.82,4,2020-06-12 10:31:49,187.21,2,2020-06-12 11:05:10,189.25,21,2020-06-12 10:52:40,94.8,8,2020-06-12 11:05:01,96.59,3,2020-06-12 10:46:59,33.31,65,2020-06-12 11:05:02,34.11,49,2020-06-12 09:41:45,115.86,4,2020-06-12 09:35:44,117.32,5,2020-06-12 10:26:41,110.52,3,2020-06-12 11:05:00,113.35,1,2020-06-12 10:27:09,283.66,3,2020-06-12 11:04:58,287.49,1,2020-06-12 10:56:26,189.79,1,2020-06-12 11:04:58,192.19,1,2020-06-12 10:50:13,56.06,16,2020-06-12 11:04:01,56.86,1,2020-06-12 09:30:40,41.02,7,2020-06-12 11:05:02,42.32,6,2020-06-12 10:19:11,119.35,5,2020-06-12 10:57:35,120.57,4,2020-06-12 09:55:43,46.28,27,2020-06-12 11:05:01,47.79,22,2020-06-12 10:25:39
2020-06-12 11:11:39,337.72,1,2020-06-12 11:06:30,340.12,11,2020-06-12 10:51:25,98.9,1,2020-06-12 11:04:24,100.88,2,2020-06-12 10:28:09,176.94,4,2020-06-12 11:05:14,181.61,1,2020-06-12 10:52:26,121.2,2,2020-06-12 11:05:01,124.0,4,2020-06-12 10:26:44,44.73,26,2020-06-12 09:30:16,45.86,22,2020-06-12 10:07:57,90.0,30,2020-06-12 11:05:01,92.07,8,2020-06-12 10:47:43,113.0,16,2020-06-12 11:05:00,114.65,14,2020-06-12 10:50:34,196.57,4,2020-06-12 11:05:11,200.7,2,2020-06-12 10:47:43,239.7,3,2020-06-12 11:04:56,242.25,1,2020-06-12 10:56:16,119.85,5,2020-06-12 11:05:00,121.87,1,2020-06-12 10:33:18,58.68,11,2020-06-12 11:04:56,59.83,18,2020-06-12 10:33:31,141.43,3,2020-06-12 11:04:07,143.13,2,2020-06-12 10:00:43,97.47,6,2020-06-12 11:05:04,99.54,8,2020-06-12 10:43:34,45.38,14,2020-06-12 11:04:58,46.25,24,2020-06-12 09:40:58,186.0,9,2020-06-12 11:04:21,188.9,4,2020-06-12 10:31:35,153.88,1,2020-06-12 11:04:55,156.93,1,2020-06-12 10:11:57,75.66,2,2020-06-12 11:04:57,76.81,5,2020-06-12 10:31:49,187.13,4,2020-06-12 11:05:09,189.17,11,2020-06-12 10:56:11,94.8,8,2020-06-12 11:05:01,96.51,4,2020-06-12 10:47:54,33.31,65,2020-06-12 11:05:02,34.11,49,2020-06-12 09:41:45,115.86,4,2020-06-12 09:35:44,117.32,5,2020-06-12 10:26:41,110.52,3,2020-06-12 11:05:00,113.35,1,2020-06-12 10:27:09,283.66,3,2020-06-12 11:04:58,287.4,2,2020-06-12 10:56:29,189.79,1,2020-06-12 11:04:58,192.13,2,2020-06-12 10:50:19,56.06,16,2020-06-12 11:04:01,56.86,1,2020-06-12 09:30:40,41.02,7,2020-06-12 11:05:02,42.31,6,2020-06-12 10:19:11,119.35,5,2020-06-12 10:57:35,120.57,4,2020-06-12 09:55:43,46.28,27,2020-06-12 11:05:01,47.75,25,2020-06-12 10:26:00
2020-06-12 11:11:43,337.65,4,2020-06-12 11:06:29,340.06,7,2020-06-12 10:51:26,98.9,1,2020-06-12 11:04:24,100.83,5,2020-06-12 10:47:41,177.01,1,2020-06-12 11:05:14,181.61,1,2020-06-12 10:52:26,121.2,2,2020-06-12 11:05:01,123.94,2,2020-06-12 10:26:54,44.73,26,2020-06-12 09:30:16,45.86,22,2020-06-12 10:07:57,90.0,30,2020-06-12 11:05:01,92.04,13,2020-06-12 10:47:44,113.0,16,2020-06-12 11:05:00,114.61,2,2020-06-12 10:50:51,196.4,5,2020-06-12 11:05:09,200.62,2,2020-06-12 10:47:44,239.7,3,2020-06-12 11:04:56,242.2,2,2020-06-12 10:56:19,119.85,5,2020-06-12 11:05:00,121.83,2,2020-06-12 10:33:19,58.68,11,2020-06-12 11:04:56,59.83,18,2020-06-12 10:33:31,141.43,3,2020-06-12 11:04:07,143.07,4,2020-06-12 10:00:56,97.45,1,2020-06-12 11:05:02,99.55,15,2020-06-12 10:43:22,45.38,14,2020-06-12 11:04:58,46.25,24,2020-06-12 09:40:58,186.0,9,2020-06-12 11:04:21,188.84,3,2020-06-12 10:33:19,153.88,1,2020-06-12 11:04:55,156.85,5,2020-06-12 10:12:00,75.66,2,2020-06-12 11:04:57,76.83,9,2020-06-12 10:31:49,187.1,4,2020-06-12 11:05:04,189.14,13,2020-06-12 10:56:11,94.8,8,2020-06-12 11:05:01,96.49,10,2020-06-12 10:48:00,33.31,65,2020-06-12 11:05:02,34.11,49,2020-06-12 09:41:45,115.86,4,2020-06-12 09:35:44,117.32,5,2020-06-12 10:26:41,110.52,3,2020-06-12 11:05:00,113.27,3,2020-06-12 10:27:50,283.66,3,2020-06-12 11:04:58,287.32,1,2020-06-12 10:56:29,189.79,1,2020-06-12 11:04:58,192.04,4,2020-06-12 10:51:16,56.06,16,2020-06-12 11:04:01,56.86,1,2020-06-12 09:30:40,41.02,7,2020-06-12 11:05:02,42.31,6,2020-06-12 10:19:11,119.35,5,2020-06-12 10:57:35,120.56,3,2020-06-12 09:55:43,46.28,27,2020-06-12 11:05:01,47.72,21,2020-06-12 10:26:11
2020-06-12 11:11:47,337.68,1,2020-06-12 11:06:29,340.11,5,2020-06-12 10:51:25,98.9,1,2020-06-12 11:04:24,100.91,4,2020-06-12 10:28:08,177.19,3,2020-06-12 11:05:23,181.81,9,2020-06-12 10:52:15,121.2,2,2020-06-12 11:05:01,123.94,2,2020-06-12 10:26:54,44.73,26,2020-06-12 09:30:16,45.86,22,2020-06-12 10:07:57,90.0,30,2020-06-12 11:05:01,92.08,3,2020-06-12 10:47:43,113.0,16,2020-06-12 11:05:00,114.65,14,2020-06-12 10:50:34,196.43,2,2020-06-12 11:05:10,200.66,1,2020-06-12 10:47:43,239.7,3,2020-06-12 11:04:56,242.26,1,2020-06-12 10:56:16,119.85,5,2020-06-12 11:05:00,121.86,3,2020-06-12 10:33:18,58.68,11,2020-06-12 11:04:56,59.82,29,2020-06-12 10:34:14,141.43,3,2020-06-12 11:04:07,143.07,4,2020-06-12 10:00:56,97.57,4,2020-06-12 11:05:14,99.67,7,2020-06-12 10:31:28,45.38,14,2020-06-12 11:04:58,46.25,24,2020-06-12 09:40:58,186.0,9,2020-06-12 11:04:21,188.88,4,2020-06-12 10:31:35,153.88,1,2020-06-12 11:04:55,156.85,5,2020-06-12 10:12:00,75.66,2,2020-06-12 11:04:57,76.87,8,2020-06-12 10:26:54,187.12,2,2020-06-12 11:05:09,189.16,9,2020-06-12 10:56:11,94.8,8,2020-06-12 11:05:01,96.51,4,2020-06-12 10:47:54,33.31,65,2020-06-12 11:05:02,34.11,49,2020-06-12 09:41:45,115.86,4,2020-06-12 09:35:44,117.32,5,2020-06-12 10:26:41,110.52,3,2020-06-12 11:05:00,113.33,8,2020-06-12 10:27:41,283.66,3,2020-06-12 11:04:58,287.44,1,2020-06-12 10:56:27,189.79,1,2020-06-12 11:04:58,192.13,2,2020-06-12 10:50:19,56.06,16,2020-06-12 11:04:01,56.86,1,2020-06-12 09:30:40,41.02,7,2020-06-12 11:05:02,42.33,8,2020-06-12 10:19:11,119.35,5,2020-06-12 10:57:35,120.56,3,2020-06-12 09:55:43,46.28,27,2020-06-12 11:05:01,47.76,25,2020-06-12 10:25:59
